,,,,,,,
Link:,,,,,,,
Person to contact:,,,,,,,
Comment: ,,,,,,,
Category,sub-category,Metric,possible values,assessment method,assessment,justification,source
Findability ,Content support,Automatically assigns persistent identifiers,y/n,A sytem is assessed yes (y) if it automatically assigns a persistant identifier to a research artefact,,,
,,Can generate DOI,y/n,"A system is assessed yes (y) if, in addition to a possible unique identifier local to the system, also supports the generation of a DOI for a research artefact",,,
,,Allows to import external identifiers,y/n,"A system is assessed yes (y) if it allows the import of idenfiers of the research artefact, external to itself",,,
,,Assigns dereferenceable identifiers,y/n,A system is assessed yes (y) if it provides a unique identifier for research artefacts that is dereferenceable to the artefact's location in the system,,,
,Content access,Indexes and searches metadata,y/n,A system is assessed yes (y) if it enables search over the metadata of the research artefact,,,
,,Indexes and searches content,y/n,A system is assessed yes (y) if it enables search over the content of the research artefact,,,
,,Advanced search features,y/n,"A system is assessed yes (y) if it provides advanced search features and, if so, justify by listing the features",,,
Accessibility,Content language,Language support,y/n,A system is assessed as providing language support (y) if its interface is available in more than one language,n,"only available in English, even if it is possible to customise the system by providing translations.",
,,Protocols and APIs supported,y/n,A system is assessed as providing protocols and APIs (y) if it makes available at least one protocol and/or API for access to research artefacts.,,,
,Content availability,Long term preservation,y/n,A system is assesssed yes (y) if it offers a convenient mechanism to perform a long term preservation beyond a simple database backup.,,,
,,Availability,"high, medium, low","A system is assed high if the uptime is >= 99,9%, it is assessed medium if the uptime is between 99,9% and 99% and low if it is below 99% ",,,
,,Access control,"open, close, on-request","A system is assessed open, if it makes research artefacts public by default. It is assessed as close if it is primary designed for closed repositories. It is assessed on-request if it offers an on-request feature.",,,
Interoperability,Content,Standard format for metadata,y/n,A system is assessed yes (y) if it employs a standardized and established format for providing the metadata,,,
,,Standard formats for content,y/n,A system is assessed yes (y) if it supports the provision of data in common and standard file formats,,,
,,Persistent identifiers,y/n,A system is assessed yes (y) if it assigns a persistent identifier (e.g. a stable URL) to the research artifacts.,,,
,,Custom metadata,y/n,"A system is assessed yes (y) if it allows to customize, extend and limit the metadata schema/format.",,,
,,Linking of metadata and content,y/n,A system is assessed yes (y) if it supports the creation and publication of semantic links between different metadata and/or datasets. ,,,
,Content interaction,Import and upload of metadata and content,y/p/n,"A system is assessed yes (y) if it supports the import and upload of metadata and data via multiple means, e.g. a web frontend or a standard API. It is assessed partially (p) if it only supports the provision via a web interface.",,,
,,Export and download of metadata and content,y/p/n,"A system is assessed yes (y) if it supports the export and download of metadata and data via multiple means, e.g. a web frontend or a standard API. It is assessed partially (p) if it only supports the download via a web interface.",,,
,,Custom submission process,y/n,"A system is assessed yes (y) it it supports the creation and maintenance of a customised submission process, including fine-grain access control and role assignment.",,,
,,Data federation ,y/n,A system is assessed yes (y) if it provides a built-in mechanism to make the metadata and data in other repositories (running the same system) available. ,,,
Reusability,Content depositing,Licence support,y/l/n,"A system is assessed high (h) if it provides a highly usable and easy-to-understand mechanism to select a fitting licence for an artefact. It is assessed limited (l), if it at least provides a customizable controlled list of licences",,,
,Content access,Licence support,y/l/n,"A system is assessed high (h) if it provides an easy-to-understand and human-readable description of the terms of use. It is assessed limited (l), if it at least provides a link to the applied licence",,,
,Content support,Data,y/n,"A system is assessed as possessing the feature (y) if it allows to access the actual content in a structured and machine-readable manner, if the data format supports it. E.g. access the content of a CSV file via an API",,,
Engagement,Useability and ease of use,Support and documentation,h/m/l,A system is assessed high (h) if the documentation and support are of high quality and reachability,,,
,,Usability,h/m/l,A system is assessed according to this metrics based on usability testing carried out.,,,
,Supporting engagement,Push notifications,y/n,"A system is assessed as possessing the feature (y) if it includes mechanisms to notify users through mobile apps, email, or other mechanisms.",,,
,,Publication workflow support,y/n,A system is assessed as possessing the feature (y) if it provides a way to customise and manage the publication/deposit workflow.,,,
,,Visualisation tools,y/n,"A system is assessed as possessing the feature (y) if it includes ways to visualise the content of publications or datasets, at least for some formats.",,,
,,Analysis tools,y/n,"A system is assessed as possessing the feature (y) if it includes mechanisms to analyse the data in deposited research artefacts, including basic statistical analysis or more advanced methods. ",,,
Social connections,Reflecting the social context,Theming / branding,y/n,A system is assessed as possessing the feature (y) if it enables the publisher or administrator to change the aspect of pages on the system to reflect institutional affiliation.,,,
,,Creation of collections,y/n,"A system is assessed as possessing the feature (y) if it includes ways for users to create, name and publish arbitrary sets of research artefacts. ",,,
,,Individual researcher profiles,y/n,"A system is assessed as possessing the feature (y) if it provides pages for individual researchers, including at least the research artefacts they have authored/published.",,,
,Creating new social connections,Like button,y/n,"A system is assessed as possessing the feature (y) if it gives the ability to users to provide simple positive feedback (""like"") on research artefacts. ",,,
,,Comments,y/n,A system is assessed as possessing the feature (y) if it enables users to comment on individual research artefacts.,,,
,,Sharing,y/n,"A system is assessed as possessing the feature (y) if it provides ways to share research artefacts with other users, on the system or other platforms (e.g. social media). ",,,
,,Following,y/n,"A system is assessed as possessing the feature (y) if it enables users to follow, and receive updates from, other users, research artefacts, collections, institutions, etc.",,,
,,Discussion forums,y/n,A system is assessed as possessing the feature (y) if it includes discussion forums for users and/or for communication with/from the administrators.,,,
,,Development community,c/l/m/h,"For a propriatery, closed system, the assessement should be ""closed"" (c). For an open system, assessement is based on amount of activities in the development community (daily/weekly updates: high, monthly/quaterly updates: medium, less: low)",,,
Trust,Content,Authentication,y/n,A system is assessed as possessing the feature (y) if it includes an authentication mechanism for users.,,,
,,Gate keeping,y/n,A system is assessed as possessing the feature (y) if it provides a review functionality during submission by data stewards or other permitted organizational users. ,,,
,,Review feature,y/n,A system is assessed as possessing the feature (y) if it includes a functionality for writing reviews to specific research artefacts. ,,,
,Content support,Indicator,n/s/a,A system is assessed as possessing the feature (s) if it records usage statistics and (a) if it provides advanced research indicators like h-Index or AltMetrics.,,,
,,Long term preservation,date,This metric is assessed based on the date of the oldest available research artefact on the system or an instance of the system,,,
,System,Open Source software and libraries,y/n,A system is assessed as possessing the feature (y) if the underlying system is open source. ,,,
,,Uptake,h/m/l,A system is assessed as having high uptake (h) if it is used by a thousands of active users each month.,,,
,GDPR,System backup,y/n,A system is assessed as possessing the feature (y) if it includes automated backups in a constant time interval.,,,
,,Right of information,y/n,A system is assessed as possessing the feature (y) if it provides a function to get all data about one user. ,,,
,,Data deletion,y/n,A system is assessed as possessing the feature (y) if it provides a function to delete all data about one user. ,,,
,,Agreement per data management process,y/n,"A system is assessed as possessing the feature (y) if it allows the user to opt-in, agreeing to single personal data management processes individually.",,,
,,Portable and secure data exchange format,y/n,"A system is assessed as possessing the feature (y) if it provides all personal data in an open standard format (e.g. HTML, TXT, PDF)",,,
,,Protection against data leaks,y/n,A system is assessed as possessing the feature (y) if it includes security tests for personal data. ,,,